ID	CRIME_LOCATION	CRIME_LATLONG	DEFENDANT_HOME	DEFENDANT_HOME_LATLONG
t17190115-33			St. Giles Cripplegate	"51.50853,-0.12574"
t17190115-34			All Hallows	"51.454188,-0.333922"
t17190115-38			St Giles Cripplegate	"51.50853,-0.12574"
t17190115-4			St. James Clarkenwel	"51.50853,-0.12574"
t17190115-40				
t17190115-44			St. Mary White Chappel	"51.50853,-0.12574"
t17190115-8			St. Giles Cripplegate	"51.50853,-0.12574"
t17190115-9			St. Andrews Holbourn	"51.50853,-0.12574"
t17190225-1			St. Mary White-Chappel	"51.50853,-0.12574"
t17190225-11	Stocks Market	"51.50853,-0.12574"	St. Mildred Poultry	"51.50853,-0.12574"
t17190225-11	Stocks Market	"51.50853,-0.12574"	St. Mildred Poultry	"51.50853,-0.12574"
t17190225-14			St. John at Wapping	"51.50506,-0.05682"
t17190225-15			St. Dunstan in the East	"51.50968,-0.08262"
t17190225-16			St. Giles Cripplegate	"51.50853,-0.12574"
t17190225-18			St. Dionis Backchurch	"51.50853,-0.12574"
t17190225-19			St. Giles's Cripplegate	"51.50853,-0.12574"
t17190225-2			St. Dunstan at Stepney	"51.5175,-0.04292"
t17190225-22				
t17190225-25	Queenhith	"51.50853,-0.12574"	St. Michael's Queenhith	"51.50853,-0.12574"
t17190225-25	Queenhith	"51.50853,-0.12574"	St. Michael's Queenhith	"51.50853,-0.12574"
t17190225-29			St. Martins in the Fields	"51.50853,-0.12574"
t17190225-3				
t17190225-31	Golden Lane	"51.50853,-0.12574"	St. Giles Cripplegate	"51.50853,-0.12574"
t17190225-31	Golden Lane	"51.50853,-0.12574"	St. Giles Cripplegate	"51.50853,-0.12574"
t17190225-32			St. Margarets Westminster	"51.5,-0.11667"
t17190225-33			St. Jame's Westminster	"51.507191,-0.132358"
t17190225-34			St. Giles in the Fields	"51.515306,-0.128446"
t17190225-35			Ealing	"51.512655,-0.305195"
t17190225-37			St. Margarets Westminster	"51.5,-0.11667"
t17190225-38			St. Martin in the Fields	"51.508824,-0.126659"
t17190225-39			St. Giles in the Fields	"51.515306,-0.128446"
t17190225-40			St. Giles in the Fields	"51.515306,-0.128446"
t17190225-5			Christ-Church	"51.506245,-0.105154"
t17190225-6			St. Dunstan's in the East	"51.5138,-0.10576"
t17190225-6			St. Dunstan's in the East	"51.5138,-0.10576"
t17190225-7			St. Clements Danes	"51.50853,-0.12574"
t17190408-16				
t17190408-17	Hand-Alley near Grays-in-Lane	"51.507265,-0.127833"	St. Andrews Holburn	"51.50853,-0.12574"
t17190408-17	Hand-Alley near Grays-in-Lane	"51.507265,-0.127833"	St. Andrews Holburn	"51.50853,-0.12574"
t17190408-20			St.Martins in the Fields	"51.50853,-0.12574"
t17190408-21			St. Martins in the Fields	"51.50853,-0.12574"
t17190408-22			St. Mary Islington	"51.53622,-0.10304"
t17190408-23			St. Dunstan at Stepney	"51.5175,-0.04292"
t17190408-27			St. Dunstan at Stepney	"51.5175,-0.04292"
t17190408-28			St. Dunstan at Stepney	"51.5175,-0.04292"
t17190408-29			St.Leonard Shoreditch	"51.526858,-0.077162"
t17190408-3			St. Andrews Holbourn	"51.50853,-0.12574"
t17190408-30			St. Giles in the Fields	"51.515306,-0.128446"
t17190408-31			St. Martins in the Fields	"51.50853,-0.12574"
t17190408-32			St. Giles in the Fields	"51.515306,-0.128446"
t17190408-34			St. Giles in the Fields	"51.515306,-0.128446"
t17190408-35			Stepney	"51.517402,-0.046219"
t17190408-35			Stepney	"51.517402,-0.046219"
t17190408-36	Hungerford Market	"51.50853,-0.12574"	St. James Clerkenwell	"51.52438,-0.11022"
