"PRIMARY_ID","UNIQUE_ID","PLACE_NAME","PLACE_TYPE"
"t17180530-19","t17180530-19-crimeloc91","Ludgate-Hill","crimeLocation"
"t17180530-2","t17180530-2-defloc6","St. Martin's Ludgate","defendantHome"
"t17180530-21","t17180530-21-defloc98","St. James's Westminister","defendantHome"
"t17180530-2","t17180530-21-defloc98","St. James's Westminister","defendantHome"
"t17180530-25","t17180530-25-defloc121","St. Andrews Holbourn","defendantHome"
"t17180530-2","t17180530-25-defloc121","St. Andrews Holbourn","defendantHome"
"t17180530-26","t17180530-26-defloc127","St. Giles in the Fields","defendantHome"
"t17180530-2","t17180530-26-defloc127","St. Giles in the Fields","defendantHome"
"t17180530-3","t17180530-3-defloc11","St. Bartholomew the Great","defendantHome"
"t17181205-30","t17181205-30-defloc168","Hackney","defendantHome"
"t17181205-3","t17181205-30-defloc168","Hackney","defendantHome"
"t17181205-31","t17181205-31-defloc175","St. James Westminster","defendantHome"
"t17181205-3","t17181205-31-defloc175","St. James Westminster","defendantHome"
"t17181205-34","t17181205-34-defloc188","St. Andrews Holbourn","defendantHome"
"t17181205-3","t17181205-34-defloc188","St. Andrews Holbourn","defendantHome"
"t17181205-36","t17181205-36-defloc196","St. Martins in the Fields","defendantHome"
"t17181205-3","t17181205-36-defloc196","St. Martins in the Fields","defendantHome"
"t17181205-37","t17181205-37-defloc202","Stepney","defendantHome"
"t17181205-3","t17181205-37-defloc202","Stepney","defendantHome"
"t17181205-39","t17181205-39-defloc211","St. Andrew Holbourn","defendantHome"
"t17181205-3","t17181205-39-defloc211","St. Andrew Holbourn","defendantHome"
"t17181205-41","t17181205-41-defloc219","Hackney","defendantHome"
"t17181205-42","t17181205-42-defloc224","St. Andrews Holbourn","defendantHome"
"t17181205-46","t17181205-46-defloc256","Stepney","defendantHome"
"t17180709-7","t17180709-7-defloc32","St. Giles's Cripplegate","defendantHome"
"t17180709-8","t17180709-8-defloc36","Barnet","defendantHome"
"t17180910-1","t17180910-1-defloc1","St. James Westminster","defendantHome"
"t17180910-1","t17180910-10-defloc44","St. Michaels Cornhill","defendantHome"
"t17180910-10","t17180910-10-defloc44","St. Michaels Cornhill","defendantHome"
"t17180910-1","t17180910-11-defloc49","St. Michaels Queenhithe","defendantHome"
"t17180910-11","t17180910-11-defloc49","St. Michaels Queenhithe","defendantHome"
"t17180910-1","t17180910-14-defloc64","St. Mary Lothbury","defendantHome"
"t17180910-14","t17180910-14-defloc64","St. Mary Lothbury","defendantHome"
