Latitude	Longitude	Place_name
51.52438	-0.11022	"St. James Clerkenwell, London, England"
51.52438	-0.11022	"St. James Clerkenwell, London, England"
51.507908	-0.136573	"St. James's Westminster, London, England"
51.515306	-0.128446	"St. Giles in the Fields, London, England"
51.515306	-0.128446	"St. Giles in the Fields, London, England"
51.516837	-0.041658	"St. Dunstan's Stepney, London, England"
51.516837	-0.041658	"St. Dunstan's Stepney, London, England"
51.5	-0.11667	"St. Margaret's Westminster, London, England"
51.5	-0.11667	"St. Margaret's Westminster, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.51601	-0.08983	"St. Stephen Coleman Street, London, England"
51.51601	-0.08983	"St. Stephen Coleman Street, London, England"
51.51342	-0.0771	"St. Buttolphs Aldgate, London, England"
51.51342	-0.0771	"St. Buttolphs Aldgate, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.51342	-0.0771	"St. Buttolph Aldgate, London, England"
51.51342	-0.0771	"St. Buttolph Aldgate, London, England"
51.50853	-0.12574	"St. Katherines-Lane, London, England"
51.50853	-0.12574	"St. Katherines-Lane, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.50853	-0.12574	"St. Giles's in the Fields, London, England"
51.51342	-0.0771	"St. Buttolphs Aldgate, London, England"
51.51342	-0.0771	"St. Buttolphs Aldgate, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.5	-0.11667	"St. Anns Westminster, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.50853	-0.12574	"St. Martins in the Fields, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.517402	-0.046219	"Stepney, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.50853	-0.12574	"St. Sepulchres, London, England"
51.51424	-0.12471	"St. Pauls Covent Garden, London, England"
51.513109	-0.113857	"St. Clement-Danes, London, England"
51.513109	-0.113857	"St. Clement-Danes, London, England"
