"PRIMARY_ID","BREAKING_PEACE","DAMAGE","DECEPTION","KILL","MISC","ROYAL_OFFENCES","SEXUAL","THEFT","VIOLENT_THEFT"
"t17181205-12","0","0","0","0","0","0","0","1","0"
"t17181205-13","0","0","0","0","0","0","0","1","0"
"t17181205-14","0","0","0","0","0","0","0","1","0"
"t17181205-16","0","0","0","0","0","0","0","1","0"
"t17181205-17","0","0","0","0","0","0","0","1","0"
"t17181205-2","0","0","0","0","0","0","0","1","0"
"t17181205-22","0","0","0","0","0","0","0","1","0"
"t17181205-3","0","0","0","0","0","0","0","1","0"
"t17181205-30","0","0","0","0","0","0","0","1","0"
"t17181205-31","0","0","0","0","0","0","0","1","0"
"t17181205-34","0","0","0","0","0","0","0","1","0"
"t17181205-36","0","0","0","0","0","0","0","1","0"
"t17181205-37","0","0","0","0","0","0","0","1","0"
"t17181205-39","0","0","0","0","0","0","0","1","0"
"t17181205-41","0","0","0","0","0","0","0","1","0"
"t17181205-42","0","0","0","0","0","0","0","1","0"
"t17181205-46","0","0","0","0","0","0","0","1","0"
"t17181205-47","0","0","0","0","0","0","0","1","0"
"t17181205-48","0","0","0","0","0","0","0","1","0"
"t17181205-5","0","0","0","0","0","0","0","1","0"
"t17181205-50","0","0","0","0","0","0","0","1","0"
"t17181205-51","0","0","0","0","0","0","0","1","0"
"t17181205-6","0","0","0","0","0","0","0","1","0"
"t17181205-7","0","0","0","0","0","0","0","1","0"
"t17181205-8","0","0","0","0","0","0","0","1","0"
"t17190115-10","0","0","0","0","0","0","0","1","0"
"t17190115-11","0","0","0","0","0","0","0","1","0"
"t17190115-13","0","0","0","0","0","0","0","1","0"
"t17190115-20","0","0","0","0","0","0","0","1","0"
"t17190115-25","0","0","0","0","0","0","0","1","0"
"t17190115-26","0","0","0","0","0","0","0","1","0"
"t17190115-27","0","0","0","0","0","0","0","1","0"
"t17190115-3","0","0","0","0","0","0","0","1","0"
"t17190115-33","0","0","0","0","0","0","0","1","0"
"t17190115-34","0","0","0","0","0","0","0","1","0"
"t17190115-38","0","0","0","0","0","0","0","1","0"
"t17190115-4","0","0","0","0","0","0","0","1","0"
"t17190115-40","0","0","0","0","0","0","0","1","0"
"t17190115-44","0","0","0","0","0","0","0","1","0"
"t17190115-8","0","0","0","0","0","0","0","1","0"
"t17190115-9","0","0","0","0","0","0","0","1","0"
"t17190225-1","0","0","0","0","0","0","0","1","0"
"t17190225-11","0","0","0","0","0","0","0","1","0"
"t17190225-14","0","0","0","0","0","0","0","1","0"
"t17190225-15","0","0","0","0","0","0","0","1","0"
