"ID","DATESTAMP"
"t17230530-13","5/30/1723"
"t17240708-54","7/8/1724"
"t17240708-56","7/8/1724"
"t17240708-57","7/8/1724"
"t17230530-35","5/30/1723"
"t17240117-43","1/17/1724"
"t17240117-60","1/17/1724"
"t17240812-3","8/12/1724"
"t17240812-31","8/12/1724"
"t17220907-69","9/7/1722"
"t17230530-9","5/30/1723"
"t17230710-13","7/10/1723"
"t17240226-11","2/26/1724"
"t17240226-13","2/26/1724"
"t17241014-28","10/14/1724"
"t17241014-32","10/14/1724"
"t17221010-15","10/10/1722"
"t17221010-26","10/10/1722"
"t17230710-18","7/10/1723"
"t17240226-14","2/26/1724"
"t17240226-25","2/26/1724"
"t17240812-1","8/12/1724"
"t17240812-10","8/12/1724"
"t17240812-11","8/12/1724"
"t17240812-16","8/12/1724"
"t17221010-3","10/10/1722"
"t17240226-27","2/26/1724"
"t17240226-35","2/26/1724"
"t17240226-36","2/26/1724"
"t17240812-47","8/12/1724"
"t17241014-10","10/14/1724"
"t17221205-15","12/5/1722"
"t17221205-19","12/5/1722"
"t17230828-17","8/28/1723"
"t17230828-34","8/28/1723"
"t17230828-37","8/28/1723"
"t17230828-4","8/28/1723"
"t17240226-63","2/26/1724"
"t17240226-68","2/26/1724"
"t17220404-47","4/4/1722"
"t17220404-48","4/4/1722"
"t17230116-1","1/16/1723"
"t17230828-48","8/28/1723"
"t17240226-77","2/26/1724"
"t17230116-19","1/16/1723"
"t17231016-1","10/16/1723"
"t17301014-12","10/14/1730"
"t17301014-26","10/14/1730"
"t17301014-41","10/14/1730"
"t17301014-49","10/14/1730"
"t17290416-45","4/16/1729"
"t17290416-47","4/16/1729"
"t17290416-53","4/16/1729"
"t17290416-54","4/16/1729"
"t17291203-13","12/3/1729"
"t17291203-27","12/3/1729"
"t17291203-3","12/3/1729"
"t17300408-36","4/8/1730"
"t17300408-37","4/8/1730"
"t17300408-39","4/8/1730"
"t17301014-76","10/14/1730"
"t17301014-9","10/14/1730"
"t17290416-62","4/16/1729"
"t17291203-30","12/3/1729"
"t17291203-32","12/3/1729"
"t17290521-1","5/21/1729"
"t17291203-57","12/3/1729"
"t17300513-17","5/13/1730"
"t17310115-9","1/15/1731"
"t17290521-44","5/21/1729"
"t17290521-5","5/21/1729"
"t17291203-67","12/3/1729"
"t17291203-69","12/3/1729"
"t17300513-37","5/13/1730"
"t17301204-56","12/4/1730"
"t17290709-13","7/9/1729"
"t17300704-12","7/4/1730"
"t17310115-31","1/15/1731"
"t17310115-33","1/15/1731"
"t17290709-38","7/9/1729"
"t17300116-28","1/16/1730"
"t17300704-25","7/4/1730"
"t17310224-11","2/24/1731"
"t17310224-2","2/24/1731"
"t17290709-49","7/9/1729"
"t17300116-53","1/16/1730"
"t17300116-54","1/16/1730"
"t17300704-55","7/4/1730"
"t17301204-65","12/4/1730"
"t17300704-63","7/4/1730"
"t17300828-12","8/28/1730"
"t17310115-5","1/15/1731"
"t17300828-21","8/28/1730"
"t17310224-29","2/24/1731"
"t17310224-37","2/24/1731"
"t17290827-7","8/27/1729"
"t17300228-34","2/28/1730"
"t17300228-35","2/28/1730"
"t17310115-18","1/15/1731"
"t17291015-20","10/15/1729"
"t17300228-67","2/28/1730"
"t17300228-68","2/28/1730"
"t17310115-55","1/15/1731"
"t17300408-15","4/8/1730"
"t17300408-21","4/8/1730"
"t17301204-31","12/4/1730"
"t17301204-35","12/4/1730"
"t17291015-6","10/15/1729"
